model,accuracy,F1 (macro),ROC-AUC,precision,recall
Majority class (always 'not met'),0.6807167975825067,0.40501576343906764,0.5,0.0,0.0
Stratified random,0.5649355996869067,0.49482536352038753,0.494944631557659,0.3121531848378273,0.3012967302813532
Prior probability,0.6807167975825067,0.40501576343906764,0.5,0.0,0.0
income only,0.7527576853736039,0.732895243730509,0.8348494363772222,0.588274947315295,0.7518873608695429
income + groceries share,0.7880195124124645,0.7705274551836672,0.8756364737366166,0.6326281470290879,0.8016753403621844
income + groceries + insurance participation,0.7901633158570027,0.7728309365765151,0.8771293957988145,0.635358915237383,0.8047682282732318
all 28 engineered features,0.835709694269801,0.8202233174852676,0.9211998213279926,0.700128043682879,0.8491250918148647
