model,CV accuracy,CV F1 (macro),CV precision,CV recall,F1 sd,CV ROC-AUC
XGBoost,0.8613536319516941,0.8370954401501127,0.8063826360306108,0.7445544554455445,0.0017646770744145033,0.9306377113589456
HistGradientBoosting,0.8605709120131662,0.8359644753674887,0.8065472586625013,0.7411598302687412,0.002133818767933808,0.9306258009570447
Random Forest,0.8512375255553781,0.8248535504357107,0.7914200218529575,0.7253182461103254,0.003153474554668748,0.9170403457209815
Logistic Regression,0.8342867813076078,0.81864577229953,0.698439177690058,0.8465818010372466,0.0037210943379586913,0.9213015252728496
Linear SVM,0.8332330042654131,0.8177146414594464,0.6961120373664511,0.8479019330504478,0.003938503531817339,
Decision Tree,0.8066781881460576,0.7889294630975785,0.6614205173232464,0.809052333804809,0.005185407876978612,0.884693134730927
Majority baseline,0.6807069296544739,0.405012270439992,0.0,0.0,6.807082398552211e-06,0.5
