Persona,n,median_income,median_hh_size,goal_met,median_savings_rate,pct_of_sample,Groceries,Eating_Out,Utilities,Rent,Transport,Healthcare,Education,Entertainment,Insurance,Clothing_Footwear,Miscellaneous
0,4876,48819.999999999956,4.0,0.3123461853978671,-0.1194415873015873,11.7,0.5396556630492224,0.004823884287584212,0.11247724489930724,0.011048354512976857,0.00011590282495413018,0.09949652485961892,0.030508143557125004,0.0032403478146940056,0.006625673597242493,0.043922260093653374,0.1480860005036211
1,28937,78700.00000000016,5.0,0.30082593219753256,-0.1452242990654205,69.7,0.4477719937236343,0.008693641438867548,0.09685403434124999,0.00899965503616534,0.07317292922283108,0.11659206355306878,0.04863563325774919,0.007347293943875556,0.015041770275088075,0.042094501109070925,0.13479648409839895
2,7703,84340.00000000004,4.0,0.39296378034532,0.0346631205673758,18.6,0.4698131850351945,0.010428835920004688,0.10682523191617493,0.012123810595764778,0.08285572027516742,0.0008309378717512208,0.052051398075236226,0.008174322797946653,0.01796720702428918,0.052297687779505025,0.18663166270896517
